"Var1","Var2","value","pair","comparison","wing","side"
"KO-F-D-10R","KO-F-D-10N",0.0288777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-11P","KO-F-D-10N",0.0226666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-13N","KO-F-D-10N",0.0455777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14J","KO-F-D-10N",0.0561777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14N","KO-F-D-10N",0.0367888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-10N",0.0342666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-10N",0.0441222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-10N",0.0222888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-10N",0.0463777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-10N",0.0277333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-10N",0.0278111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-10N",0.0269555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-10N",0.0633555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-10N",0.0385333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-10N",0.0332777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-10N",0.0424111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-10N",0.0453,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-10N",0.0524777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-10N",0.0470222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-10N",0.0665333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-10N",0.0617666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-10N",0.0252222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-10N",0.0359888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-10N",0.0620777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-10N",0.0267333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-11P","KO-F-D-10R",0.0225,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-13N","KO-F-D-10R",0.0314333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14J","KO-F-D-10R",0.0395888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14N","KO-F-D-10R",0.0228444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-10R",0.0333888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-10R",0.0395777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-10R",0.0243,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-10R",0.0415888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-10R",0.0207222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-10R",0.0249555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-10R",0.0253444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-10R",0.0606555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-10R",0.0292555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-10R",0.0219333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-10R",0.0328,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-10R",0.0350444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-10R",0.0410444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-10R",0.0342555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-10R",0.0565888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-10R",0.0518888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-10R",0.0365888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-10R",0.0263111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-10R",0.0515555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-10R",0.0267444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-13N","KO-F-D-11P",0.0392666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14J","KO-F-D-11P",0.0501777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14N","KO-F-D-11P",0.0280111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-11P",0.0238666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-11P",0.0391888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-11P",0.0144,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-11P",0.0348222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-11P",0.0221777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-11P",0.0168777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-11P",0.0233333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-11P",0.0536888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-11P",0.0307555555555556,"female mKO","(within)","Right forewing","Dorsal"
