"SampleId","Area","Group","Side","Wing"
"KO-F-D-10N",0.188178025034771,"KO-F","Dorsal","FR"
"KO-F-D-10R",0.169401947148818,"KO-F","Dorsal","FR"
"KO-F-D-11P",0.19095966620306,"KO-F","Dorsal","FR"
"KO-F-D-13N",0.147844228094576,"KO-F","Dorsal","FR"
"KO-F-D-14J",0.134770514603616,"KO-F","Dorsal","FR"
"KO-F-D-14N",0.167037552155772,"KO-F","Dorsal","FR"
"KO-F-D-15K",0.207371349095967,"KO-F","Dorsal","FR"
"KO-F-D-17N",0.159666203059805,"KO-F","Dorsal","FR"
"KO-F-D-18P",0.196801112656467,"KO-F","Dorsal","FR"
"KO-F-D-20213G",0.221001390820584,"KO-F","Dorsal","FR"
"KO-F-D-20214E",0.176147426981919,"KO-F","Dorsal","FR"
"KO-F-D-20219E",0.192141863699583,"KO-F","Dorsal","FR"
"KO-F-D-2J",0.171627260083449,"KO-F","Dorsal","FR"
"KO-F-D-2L",0.242489568845619,"KO-F","Dorsal","FR"
"KO-F-D-2N",0.172878998609179,"KO-F","Dorsal","FR"
"KO-F-D-31J",0.166759388038943,"KO-F","Dorsal","FR"
"KO-F-D-4H",0.168428372739917,"KO-F","Dorsal","FR"
"KO-F-D-4J",0.161126564673157,"KO-F","Dorsal","FR"
"KO-F-D-6C",0.124061196105702,"KO-F","Dorsal","FR"
"KO-F-D-6N",0.133518776077886,"KO-F","Dorsal","FR"
"KO-F-D-7A",0.186300417246175,"KO-F","Dorsal","FR"
"KO-F-D-7J",0.195132127955494,"KO-F","Dorsal","FR"
"KO-F-D-7R",0.210848400556328,"KO-F","Dorsal","FR"
"KO-F-D-8N",0.181780250347705,"KO-F","Dorsal","FR"
"KO-F-D-9N",0.147566063977747,"KO-F","Dorsal","FR"
"KO-F-D-9P",0.199513212795549,"KO-F","Dorsal","FR"
"KO-F-D-10N",0.177731063945209,"KO-F","Dorsal","FL"
"KO-F-D-10R",0.169186953278633,"KO-F","Dorsal","FL"
"KO-F-D-11P",0.187767003458331,"KO-F","Dorsal","FL"
"KO-F-D-13N",0.152505594358175,"KO-F","Dorsal","FL"
"KO-F-D-14J",0.134603648199634,"KO-F","Dorsal","FL"
"KO-F-D-14N",0.16593205397708,"KO-F","Dorsal","FL"
"KO-F-D-15K",0.198209805384146,"KO-F","Dorsal","FL"
"KO-F-D-17N",0.142808706855632,"KO-F","Dorsal","FL"
"KO-F-D-18P",0.201057842273005,"KO-F","Dorsal","FL"
"KO-F-D-20213G",0.21841730521462,"KO-F","Dorsal","FL"
"KO-F-D-20214E",0.177663253543094,"KO-F","Dorsal","FL"
